date,murabaha_immobiliere_kDH,murabaha_total_kDH,murabaha_hors_marges_kDH,murabaha_immobiliere_hors_marges_kDH,murabaha_automobile_kDH,murabaha_equipement_kDH,murabaha_matieres_premieres_kDH,depot_vue_kDH,depot_investissement_kDH,credit_habitat_MDH,credit_habitat_participatif_MDH,credit_habitat_participatif_flash_MDH,ipai_global,ipai_residentiel,ipai_appartement,ipai_maison,policy_rate_pct,lending_rate_credits_immobiliers_pct,lending_rate_global_pct,lending_rate_credits_equipement_pct,lending_rate_credits_consommation_pct,murabaha_immobiliere_growth_yoy_pct,murabaha_total_growth_yoy_pct,credit_habitat_growth_yoy_pct,murabaha_immobiliere_MDH,penetration_murabaha_in_habitat_pct
2020-05-01,,,,,,,,,,,,,105.9972237583797,105.6953377358645,105.5944009224532,105.0148435668434,2.0,,,,,,,,,
2020-06-01,6774648.0,10661135.0,7694320.0,,790182.0,129489.0,,2878399.0,610332.0,,,,105.9972237583797,105.6953377358645,105.5944009224532,105.0148435668434,1.5,,,,,,,,6774.648,
2020-07-01,6962885.0,11034957.0,7935751.0,,830445.0,142420.0,,3057128.0,600469.0,,,,111.2695459975985,111.0858733926069,110.619875261129,110.0701468185528,1.5,,,,,52.67228045679213,53.79932503645344,,6962.885,
2020-08-01,7164894.0,11315204.0,8213244.0,,889462.0,158889.0,,3107334.0,689337.0,,,,111.2695459975985,111.0858733926069,110.619875261129,110.0701468185528,1.5,,,,,52.38991978407741,52.068354400098805,,7164.894,
2020-09-01,7474287.0,11810055.0,8562695.0,,903787.0,184620.0,,3214175.0,688030.0,,,,111.2695459975985,111.0858733926069,110.619875261129,110.0701468185528,1.5,,,,,49.9920832747188,50.67107000073867,,7474.287,
2020-10-01,7786919.0,12293085.0,8910482.0,,927196.0,196368.0,,3344145.0,748188.0,,,,113.6710532937872,113.9103267132724,113.2502981439183,113.9741009293826,1.5,,,,,48.008910658672164,48.77878310374626,,7786.919,
2020-11-01,8131971.0,12837464.0,9305334.0,,937773.0,235591.0,,3449317.0,787586.0,,,,113.6710532937872,113.9103267132724,113.2502981439183,113.9741009293826,1.5,,,,,54.56744435352583,55.367206202360975,,8131.971,
2020-12-01,8550952.0,13480352.0,9749760.0,,967557.0,231250.0,,3806911.0,949574.0,,,,113.6710532937872,113.9103267132724,113.2502981439183,113.9741009293826,1.5,,,,,4.469412501336256,48.120549838131986,,8550.952,
2021-01-01,8899456.0,13851008.0,10136328.0,,992169.0,244704.0,,3819801.0,1078639.0,,,,111.9550384067128,111.7269269990814,111.056223141268,112.437823227475,1.5,,,,,5.314880565033486,46.73839126888537,,8899.456,
2021-02-01,12848685.0,14326344.0,10379394.0,9110739.0,1176722.0,300938.0,,3990162.0,1138958.0,,,,111.9550384067128,111.7269269990814,111.056223141268,112.437823227475,1.5,,,,,48.26766980491632,47.7484323118867,,12848.685,
2021-03-01,9458235.0,,,,1037201.0,279674.0,,4171832.0,1211563.0,,,,111.9550384067128,111.7269269990814,111.056223141268,112.437823227475,1.5,,,,,4.653617635632767,42.02588326359435,,9458.235,
2021-04-01,9877690.0,,,,1053442.0,308809.0,,4304981.0,1268802.0,,,,107.6635631913251,108.1091715847937,107.4056938454519,108.492448456459,1.5,,,,,55.15104926585239,42.22035326306273,,9877.69,
2021-05-01,10150632.0,,,,1070770.0,349837.0,,4406962.0,1376924.0,,,,107.6635631913251,108.1091715847937,107.4056938454519,108.492448456459,1.5,,,,,59.438209288967144,42.22035326306273,,10150.632,
2021-06-01,10784744.0,,,,1079098.0,375041.0,,4432461.0,1523502.0,,,,107.6635631913251,108.1091715847937,107.4056938454519,108.492448456459,1.5,,,,,59.19268425459152,34.37916319416272,,10784.744,
2021-07-01,10950941.0,,,,1137941.0,458361.0,,4445790.0,1514553.0,,,,105.0400919785161,105.0111982637012,104.5461414617513,106.7437330268653,1.5,,,,,57.27591364786291,29.826912782714054,,10950.941,
2021-08-01,11122270.0,,,,1145585.0,473367.0,,4581073.0,1551748.0,,,,105.0400919785161,105.0111982637012,104.5461414617513,106.7437330268653,1.5,,,,,55.232861784138045,26.6114512827166,,11122.27,
2021-09-01,,,,,,,,4704296.0,1668751.0,,,,105.0400919785161,105.0111982637012,104.5461414617513,106.7437330268653,1.5,,,,,48.80710360734073,21.3063275319209,,,
2021-10-01,,,,,,,,4916388.0,1694012.0,,,,105.7068489632173,105.7993489628785,105.2944130821784,107.1059831274079,1.5,4.82,4.44,4.56,6.47,42.832742962909975,16.539859603996888,,,
2021-11-01,,,,,,,,4963899.0,1748541.0,,,,105.7068489632173,105.7993489628785,105.2944130821784,107.1059831274079,1.5,4.82,4.44,4.56,6.47,36.77213064335818,11.59792931064889,,,
2021-12-01,,,,,,,,5275435.0,1721623.0,233100000.0,,15900000.0,105.7068489632173,105.7993489628785,105.2944130821784,107.1059831274079,1.5,4.82,4.44,4.56,6.47,30.07054653095935,6.275741167589688,,,
2022-01-01,12267670.0,,,,1211749.0,780731.0,,5255466.0,1758746.0,233100000.0,,15900000.0,105.565391716618,105.7744969051526,105.2934939387979,106.1392269057156,1.5,4.6,4.28,4.3,6.5,37.84741449364994,3.431779116725653,,12267.67,0.005262558733016336
2022-02-01,12472133.0,,,,1216799.0,826129.0,,5311573.0,1687918.0,233100000.0,,15900000.0,105.565391716618,105.7744969051526,105.2934939387979,106.1392269057156,1.5,4.6,4.28,4.3,6.5,-2.9306656673426135,0.0,,12472.133,0.005350264138970715
2022-03-01,17842788.0,20344124.0,14850174.0,12697357.0,1425202.0,1076134.0,,5465465.0,1740839.0,233100000.0,,15900000.0,105.565391716618,105.7744969051526,105.2934939387979,106.1392269057156,1.5,4.6,4.28,4.3,6.5,88.64817801630008,42.00499443542609,,17842.788,0.00765397782795478
